,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),Location,dt,Neighborhood_Arlington,Neighborhood_Aspinwall,Neighborhood_Bloomfield,Neighborhood_Central North Side,Neighborhood_Downtown Pgh,Neighborhood_E Pittsburgh,Neighborhood_East Allegheny,Neighborhood_East Liberty,Neighborhood_Edgewood,Neighborhood_Fox Chapel,Neighborhood_Friendship Park,Neighborhood_Garfield,Neighborhood_Greenfield,Neighborhood_Hazelwood,Neighborhood_Highland Park,Neighborhood_Hill District,Neighborhood_Homestead,Neighborhood_Homewood-Brushton,Neighborhood_Lawrenceville,Neighborhood_Lincoln Place,Neighborhood_Lincoln-Larimer,Neighborhood_Morningside,Neighborhood_Mt Oliver,Neighborhood_Munhall,Neighborhood_Murdoch Farms,Neighborhood_North of Forbes,Neighborhood_O'Hara,Neighborhood_Oakland,Neighborhood_Penn Hills,Neighborhood_Point Breeze,Neighborhood_Polish Hill,Neighborhood_Regent Square,Neighborhood_Reserve,Neighborhood_Ross Twp,Neighborhood_Schenley Farms,Neighborhood_Schenley Heights,Neighborhood_Shadyside,Neighborhood_Sharpsburg,Neighborhood_South Side,Neighborhood_South-Other Area,Neighborhood_Spring Garden,Neighborhood_Spring Hill,Neighborhood_Squirrel Hill,Neighborhood_Stanton Heights,Neighborhood_Swissvale,Neighborhood_Troy Hill,Neighborhood_Wilkinsburg,yearSold_2018,yearSold_2019,yearSold_2020,yearSold_2021,yearSold_2022,monthSold_2,monthSold_3,monthSold_4,monthSold_5,monthSold_6,monthSold_7,monthSold_8,monthSold_9,monthSold_10,monthSold_11,monthSold_12,Crime Score,HS_Score,ES_MS_Score,censusTract,censusCounty,censusState,joinKey,age_Median,housing_OwnerOccupiedMedianValue,renting_MedianRentValue,inequality_GiniIndex,commute_pctLessThan34Mins,bachelors_pctSTEM,education_pctAdvancedDegree,income_pctBelow50K,income_pctAbove150K
441,405000.0,3.0,3.0,1024.0,1084.0,1900.0,https://www.redfin.com/PA/Pittsburgh/194-43rd-1-2-St-15201/home/73505438,"(-79.9604173, 40.4714442)",2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,19.18346094566898,58.833333333333336,79.66666666666667,090100,003,42,42003090100,33.2,250000,1470.0,0.4843,0.9037433155080213,0.1347233360064154,0.2957974137931034,0.28762541806020064,0.27591973244147155
442,182000.0,3.0,2.0,1462.0,1306.0,1900.0,https://www.redfin.com/PA/Pittsburgh/4555-Carroll-St-15224/home/74652752,"(-79.9503995, 40.4655462)",2018-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.7673204546447,58.833333333333336,54.5,090300,003,42,42003090300,36.8,175100,942.0,0.4041,0.8762475049900199,0.06335403726708075,0.1571722717913521,0.4362050163576881,0.05997818974918211
443,280000.0,6.0,2.5,2388.0,3484.0,1900.0,https://www.redfin.com/PA/Pittsburgh/502-N-Sheridan-Ave-15206/home/74744250,"(-79.9206038, 40.4656037)",2021-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30.002728522598517,90.8,50.0,111300,003,42,42003111300,36.4,301700,857.0,0.5507,0.8271308523409364,0.05249169435215947,0.3139240506329114,0.47792571829011915,0.21093202522775054
444,660000.0,4.0,3.5,2369.0,6150.0,1927.0,https://www.redfin.com/PA/Pittsburgh/222-Parkman-Ave-15213/home/74567895,"(-79.9568881, 40.4464078)",2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19.435872862274802,95.23333333333333,50.0,562000,003,42,42003562000,26.6,242700,912.0,0.5961,0.9738181818181818,0.03826955074875208,0.44465058750773034,0.7980817768803634,0.03331650681474003
445,505000.0,4.0,2.5,1488.0,5662.0,1950.0,https://www.redfin.com/PA/Pittsburgh/944-Savannah-Ave-15221/home/74517369,"(-79.8934026, 40.4350472)",2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.8870952464613167,82.86666666666666,63.666666666666664,560500,003,42,42003560500,33.9,217300,1030.0,0.3902,0.7683653209794837,0.1472584856396867,0.4223255813953488,0.2713333333333333,0.142
446,420000.0,3.0,2.5,2040.0,1742.0,1900.0,https://www.redfin.com/PA/Pittsburgh/5159-Stanton-Ave-15201/home/74734887,"(-79.9532713, 40.4775534)",2018-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.862780664616267,90.8,79.66666666666667,101100,003,42,42003101100,31.0,158300,1126.0,0.4088,0.8681177976952625,0.08475957620211899,0.17413874469089194,0.36647493837304845,0.09449465899753492
447,255000.0,5.0,2.5,2150.0,1799.0,1900.0,https://www.redfin.com/PA/Pittsburgh/3311-Juliet-St-15213/home/73501062,"(-79.9565078, 40.4335616)",2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20.68368536077346,95.23333333333333,54.666666666666664,040900,003,42,42003040900,22.3,163000,1232.0,0.563,0.8538147932440303,0.11677852348993288,0.2862776025236593,0.7589285714285714,0.029017857142857144
448,299000.0,3.0,2.5,1608.0,1742.0,1890.0,https://www.redfin.com/PA/Pittsburgh/3636-Mintwood-St-15201/home/74652925,"(-79.9628169, 40.4633684)",2021-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19.85035648730772,58.833333333333336,70.0,060300,003,42,42003060300,33.4,265700,1156.0,0.4399,0.8644295302013423,0.084,0.28826151560178304,0.3069908814589666,0.19072948328267478
449,65000.0,4.0,1.0,1192.0,3920.0,1910.0,https://www.redfin.com/PA/Pittsburgh/44-Hartford-St-15203/home/74621465,"(-79.9881912, 40.4247834)",2021-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,51.081512264740894,93.96666666666667,62.0,180300,003,42,42003180300,36.8,64200,718.0,0.4029,0.8827772768259693,0.0,0.11103767349636484,0.6419354838709678,0.06666666666666667
450,150000.0,3.0,1.0,1875.0,1149.0,1900.0,https://www.redfin.com/PA/Pittsburgh/512-N-Euclid-Ave-15206/home/74744310,"(-79.9248997, 40.4670342)",2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34.78552641271134,90.8,50.0,111300,003,42,42003111300,36.4,301700,857.0,0.5507,0.8271308523409364,0.05249169435215947,0.3139240506329114,0.47792571829011915,0.21093202522775054
