SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-30-2020,Condo/Co-op,5581 Butler St 7-25 Unit C+,Lawrenceville,PA,15201,585414,4,3,Lawrenceville,2414,,2018,,243,200,Sold,,,https://www.redfin.com/PA/Pittsburgh/5581-Butler-St-15201/unit-C/home/171270641,West Penn MLS,1370022,N,Y,40.4842372,-79.9484158
PAST SALE,May-19-2021,Condo/Co-op,5563 Berlin Way Unit 13-54 B2+,Lawrenceville,PA,15201,665250,3,3,Lawrenceville,2329,,2020,,286,215,Sold,,,https://www.redfin.com/PA/Pittsburgh/13-b-54th-St-15201/unit-13-54-B2/home/172005333,West Penn MLS,1451499,N,Y,40.4837621,-79.9532385
PAST SALE,May-20-2021,Condo/Co-op,5561 Berlin Way Unit 13-53 A,Lawrenceville,PA,15201,501640,3,3,Lawrenceville,1842,,2020,,272,222,Sold,,,https://www.redfin.com/PA/Pittsburgh/5561-Berlin-Way-15201/unit-13-53-A/home/172005968,West Penn MLS,1451080,N,Y,40.4846881,-79.9483701
PAST SALE,December-30-2021,Condo/Co-op,5523 Butler St Unit 2-8,Lawrenceville,PA,15201,690000,3,3,Lawrenceville,2139,,2018,,323,206,Sold,,,https://www.redfin.com/PA/Pittsburgh/5523-Butler-St-15201/unit-2-8/home/176833116,West Penn MLS,1527165,N,Y,40.484049,-79.9492916
PAST SALE,August-8-2022,Townhouse,5553 Butler St,Lawrenceville,PA,15201,725000,3,3.5,Lawrenceville,2155,,2020,,336,231,Sold,,,https://www.redfin.com/PA/Pittsburgh/5553-Butler-St-15201/home/148099102,West Penn MLS,1553552,N,Y,40.4841983,-79.9490618
PAST SALE,June-25-2021,Single Family Residential,5212 Natrona,Lawrenceville,PA,15201,194000,2,2,Lawrenceville,968,,1900,,200,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5212-Natrona-Way-15201/home/171262277,West Penn MLS,1483428,N,Y,40.4799689,-79.9528969
PAST SALE,,Condo/Co-op,156 56th St A2+,Lawrenceville,PA,15201,,3,3,,2155,,2020,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/156-56th-St-15201/home/160510187,West Penn MLS,,N,Y,40.4845728,-79.9484413
PAST SALE,June-1-2021,Single Family Residential,5324 Keystone St,Lawrenceville,PA,15201,642500,3,3.5,Lawrenceville,2400,2178,2021,,268,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5324-Keystone-St-15201/home/73533114,West Penn MLS,1493243,N,Y,40.4814186,-79.9499759
PAST SALE,May-18-2022,Single Family Residential,5400 Natrona Way,Lawrenceville,PA,15201,651000,3,2.5,Lawrenceville,2276,1576,1950,,286,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5400-Natrona-Way-15201/home/74465815,West Penn MLS,1545762,N,Y,40.4820629,-79.9499847
PAST SALE,May-31-2022,Single Family Residential,5172 Carnegie St,Lawrenceville,PA,15201,335000,3,2,Lawrenceville,1120,884,1920,,299,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5172-Carnegie-St-15201/home/74734452,West Penn MLS,1546682,N,Y,40.4795738,-79.9536441
